Name,Male,Female,Incidence,Frequency
Arben,100,0,13278,1:229
Mimoza,0,100,12737,1:239
Ilir,100,0,10828,1:281
Valbona,0,100,10255,1:297
Lindita,0,100,10068,1:303
Majlinda,0,100,9787,1:311
Shpresa,0,100,9786,1:311
Agim,100,0,9552,1:319
Vjollca,0,100,9477,1:321
Fatmir,100,0,9311,1:327
Fatime,0,100,9019,1:338
Anila,0,100,8729,1:349
Drita,0,100,8670,1:351
Altin,100,0,8412,1:362
Petrit,100,0,8332,1:366
Agron,100,0,8235,1:370
Kujtim,100,0,8147,1:374
Gëzim,100,0,8092,1:376
Mirela,0,100,8050,1:378
Alma,0,100,7870,1:387
Besnik,100,0,7864,1:387
Dritan,100,0,7858,1:388
Luljeta,0,100,7809,1:390
Violeta,0,100,7485,1:407
Edmond,100,0,7245,1:421
Valentina,0,100,7136,1:427
Sokol,100,0,7022,1:434
Liljana,0,100,6960,1:438
Astrit,100,0,6912,1:441
Fatbardha,0,100,6863,1:444
Merita,0,100,6800,1:448
Anxhela,0,100,6777,1:450
Artan,100,0,6766,1:450
Artur,100,0,6646,1:458
Albana,0,100,6634,1:459
Elton,100,0,6482,1:470
Kristina,0,100,6432,1:474
Luan,100,0,6429,1:474
Bashkim,100,0,6369,1:478
Albert,100,0,6254,1:487
Bledar,100,0,6246,1:488
Denis,99,1,6158,1:495
Esmeralda,0,100,6140,1:496
Bujar,100,0,6086,1:501
Ervin,100,0,6078,1:501
Silvana,0,100,6049,1:504
Eduart,100,0,6009,1:507
Brunilda,0,100,5987,1:509
Elona,0,100,5981,1:509
Alfred,100,0,5935,1:513
Pranvera,0,100,5915,1:515
Blerina,0,100,5813,1:524
Leonard,100,0,5812,1:524
Suzana,0,100,5791,1:526
Arjan,100,0,5786,1:527
Ervis,100,0,5680,1:536
Alketa,0,100,5570,1:547
Miranda,0,100,5544,1:550
Adelina,0,100,5521,1:552
Dhurata,0,100,5422,1:562
Vera,0,100,5370,1:567
Vasil,100,0,5281,1:577
Donika,0,100,5277,1:577
Fatjon,100,0,5210,1:585
Ylli,100,0,5191,1:587
Sara,0,100,5179,1:588
Gentian,100,0,5154,1:591
Ali,100,0,5080,1:600
Alban,100,0,5079,1:600
Andi,100,0,5070,1:601
Ardian,100,0,5051,1:603
Etleva,0,100,5022,1:607
Erjon,100,0,4947,1:616
Sonila,0,100,4858,1:627
Anisa,0,100,4846,1:629
Ardit,100,0,4790,1:636
Edlira,0,100,4788,1:636
Andrea,99,1,4752,1:641
Saimir,100,0,4743,1:642
Rudina,0,100,4737,1:643
Ramazan,100,0,4714,1:646
Flora,0,100,4706,1:647
Manushaqe,0,100,4562,1:668
Klajdi,100,0,4525,1:673
Afërdita,0,100,4514,1:675
Natasha,0,100,4503,1:677
Irena,0,100,4502,1:677
Roland,100,0,4495,1:678
