Name,Male,Female,Incidence,Frequency
Mohammad,100,0,2990136,1:26
Fatemeh,0,100,2738116,1:29
Zahra,0,100,2241171,1:35
Ali,100,0,2234785,1:35
Maryam,0,0,1832926,1:43
Seyyed,93,7,1261005,1:62
Hossein,100,0,1207360,1:65
Mahdi,100,0,1169628,1:67
Masoumeh,0,100,1161448,1:68
Reza,100,0,838165,1:94
Hassan,100,0,751841,1:104
Leila,0,100,743012,1:106
Zeynab,0,100,693699,1:113
Ahmad,100,0,643589,1:122
Saeed,100,0,638938,1:123
Alireza,100,0,636790,1:123
Mohsen,100,0,624514,1:126
Hamid,100,0,592664,1:132
Marzieh,0,100,551019,1:142
Seyyedeh,0,100,532441,1:147
Rogheyeh,0,100,524344,1:150
Amir,100,0,490378,1:160
Majid,100,0,485833,1:162
Sakineh,0,100,472419,1:166
Khadijeh,0,100,467976,1:168
Abbas,100,0,463582,1:169
Tahereh,0,100,438512,1:179
Zohreh,0,100,436714,1:180
Somayeh,67,33,435178,1:180
Morteza,100,0,417276,1:188
Ebrahim,100,0,407287,1:193
Mostafa,100,0,399938,1:196
Javad,100,0,397953,1:197
Kobra,0,100,397215,1:198
Sedigheh,0,100,397152,1:198
Elham,10,90,391389,1:201
Mahmoud,100,0,391148,1:201
Rasool,41,59,360060,1:218
Mohammad Reza,100,0,352533,1:223
Mojtaba,100,0,347055,1:226
Hadi,100,0,335468,1:234
Samira,0,100,330611,1:237
Masoud,100,0,324681,1:242
Vahid,100,0,315618,1:249
Fariba,0,100,312933,1:251
Farzaneh,0,100,309663,1:253
Mahboubeh,0,100,302952,1:259
Nasrin,0,100,296333,1:265
Mina,0,100,292092,1:269
Mahnaz,0,100,289563,1:271
Ehsan,66,34,288148,1:272
Narges,8,92,282024,1:278
Esmaeil,100,0,281394,1:279
Sarah,0,100,279428,1:281
Fereshteh,0,100,273396,1:287
Omid,92,8,263213,1:298
Rooh,66,34,262524,1:299
Razieh,0,100,262167,1:299
Akbar,100,0,261208,1:301
Hamed,100,0,260987,1:301
Nasser,100,0,260873,1:301
Tayebeh,0,100,259011,1:303
Davood,100,0,253624,1:310
Gholam Reza,100,0,251672,1:312
Farideh,0,100,244102,1:322
Soheila,9,91,240231,1:327
Amin,100,0,239445,1:328
Hojjat,41,59,230412,1:341
Afsaneh,0,100,230031,1:341
Nahid,21,79,229176,1:343
Sahar,0,100,227306,1:345
Sajjad,100,0,218592,1:359
Elaheh,0,100,218272,1:360
Hamideh,0,100,217709,1:361
Arzou,0,100,214190,1:366
Azam,100,0,213776,1:367
Abolfazl,100,0,210725,1:373
Shahnaz,0,100,203067,1:387
Neda,0,100,198879,1:395
Fahimeh,0,100,196914,1:399
Maliheh,0,100,196137,1:400
Jafar,100,0,193829,1:405
Yousef,100,0,193789,1:405
Akram,100,0,192023,1:409
Meysam,100,0,191601,1:410
Mozhgan,0,100,190220,1:413
Samaneh,33,67,190098,1:413
Parisa,0,100,189297,1:415
Asghar,100,0,189266,1:415
Farhad,100,0,187653,1:418
Mehri,0,100,186474,1:421
Esmat,0,100,184942,1:424
Hajar,0,100,183453,1:428
Qasem,100,0,180402,1:435
Vale,42,58,176329,1:445
Mansour,100,0,175730,1:447
Adel,0,100,170419,1:461
Atefeh,0,100,168305,1:466
Mahin,9,91,168134,1:467
Saeedeh,0,100,167641,1:468
Peyman,29,71,166410,1:472
Habib,100,0,164538,1:477
Mahdieh,0,100,164206,1:478
Hamid Reza,100,0,164041,1:479
Parvaneh,0,100,162428,1:483
Milad,100,0,162314,1:484
Batol,12,88,162131,1:484
Gol,36,64,155956,1:503
Soraya,0,100,155337,1:505
Behrooz,100,0,154178,1:509
Shahla,0,100,153861,1:510
Behzad,92,8,153219,1:512
Sadegh,100,0,151765,1:517
Mehrdad,100,0,143595,1:547
Gholam,100,0,141891,1:553
Roya,0,100,137172,1:572
Najmeh,0,100,136800,1:574
Rahim,100,0,134020,1:586
Azadeh,0,100,132777,1:591
Robabeh,0,100,132614,1:592
Mousa,100,0,131296,1:598
Shirin,0,100,130436,1:602
Behnam,100,0,129939,1:604
Mansoureh,0,100,129653,1:605
Bahram,100,0,126513,1:620
Bahman,100,0,126064,1:623
Iman,100,0,125827,1:624
Mahsa,16,84,124582,1:630
Mehran,80,20,122364,1:642
Kazem,92,8,121807,1:644
Bahareh,0,100,120482,1:652
Mitra,0,100,120156,1:653
Abdollah,100,0,119942,1:654
Nader,100,0,119334,1:658
Karim,100,0,118125,1:665
Moslem,100,0,116599,1:673
Soghari,0,0,114588,1:685
Mohammad Ali,100,0,114314,1:687
Isa,83,17,113497,1:692
Ramin,94,6,111885,1:702
Manijeh,0,100,110619,1:710
Shahram,100,0,110522,1:710
Kalthum,0,100,109643,1:716
Sima,0,100,109638,1:716
Shahrbanoo,0,100,106609,1:736
Marjan,25,75,105415,1:745
Farzad,100,0,103771,1:756
Sepideh,0,100,101218,1:776
Nemat,58,42,100908,1:778
Parvin,100,0,100687,1:780
Shahin,84,16,100279,1:783
Jalal,100,0,99542,1:789
Nusrat,33,67,96525,1:813
Parviz,100,0,95045,1:826
Yasser,100,0,94071,1:834
Monireh,0,100,93603,1:839
Qadarat,0,0,92908,1:845
Sanaz,0,100,92616,1:848
Raheleh,0,100,92172,1:852
Abdullah,100,0,90556,1:867
Efat,0,100,90158,1:871
Yaqoub,85,15,89704,1:875
Farahnaz,0,100,89311,1:879
Halimeh,0,100,88928,1:883
Soodabeh,0,100,86932,1:903
Elnaz,0,100,83819,1:937
Nabi,0,100,81874,1:959
Susan,0,100,81542,1:963
Bey,57,43,81469,1:964
Ezzat,63,37,80987,1:969
Babak,100,0,80141,1:979
Sina,0,100,79604,1:986
Rahman,100,0,78390,1:1001
Hakimeh,0,100,78030,1:1006
Behnaz,0,100,77967,1:1007
Heydar,100,0,77873,1:1008
Iraj,100,0,77588,1:1012
Ashraf,100,0,77162,1:1017
Noor,0,100,76620,1:1024
Khalil,100,0,76512,1:1026
Younes,100,0,76435,1:1027
Pouriya,0,100,76177,1:1030
Niloufar,0,100,76015,1:1033
Jamshid,100,0,75094,1:1045
Faezeh,0,100,75074,1:1046
Axara,0,100,74940,1:1047
Hamzeh,100,0,73922,1:1062
Leili,0,100,73890,1:1062
Saber,70,30,73581,1:1067
Reyhaneh,0,100,73487,1:1068
Farshad,100,0,73462,1:1069
Nima,0,100,73430,1:1069
Ayub,100,0,72880,1:1077
Gholam Hossein,100,0,72583,1:1081
Shima,22,78,72513,1:1083
Darius,100,0,71540,1:1097
Abdolreza,100,0,71472,1:1098
Arash,84,16,71111,1:1104
Afshin,100,0,70699,1:1110
Ramadan,100,0,70407,1:1115
Abdul,100,0,69569,1:1128
Safieh,7,93,68079,1:1153
Madineh,0,100,67896,1:1156
Iran,10,90,67876,1:1156
Mir,100,0,67008,1:1171
Mohammad Hossein,100,0,66781,1:1175
Aziz,100,0,66758,1:1176
Aqdas,33,67,66642,1:1178
Jalil,100,0,66186,1:1186
Saman,89,11,64965,1:1208
Jamal,100,0,64710,1:1213
Farah,0,100,64250,1:1222
Hashem,100,0,64247,1:1222
Samad,100,0,63569,1:1235
Soghra,0,100,63569,1:1235
Robab,9,91,62732,1:1251
Manuchehr,100,0,62386,1:1258
Esmail,100,0,61762,1:1271
Kamal,100,0,61478,1:1277
Narjes,0,100,61436,1:1278
Farshid,100,0,61300,1:1281
Fereydoon,100,0,60433,1:1299
Shabnam,0,100,60309,1:1302
Amen,100,0,60093,1:1306
Safar,90,10,59252,1:1325
Asieh,8,92,59045,1:1329
Farkhondeh,0,100,58687,1:1338
Nazanin,0,100,58641,1:1339
Yadollah,100,0,58617,1:1339
Rahmat,100,0,58409,1:1344
Firouzeh,5,95,58286,1:1347
Zalikha,0,100,58283,1:1347
Mona,0,100,58249,1:1348
Mahtab,0,100,57894,1:1356
Hanieh,0,100,57057,1:1376
Solmaz,0,100,56776,1:1383
Gholamali,100,0,56387,1:1392
Kamran,100,0,56064,1:1400
Moon,64,36,55297,1:1420
Faramarz,100,0,55197,1:1422
Habibeh,0,100,55185,1:1422
Shokoufeh,0,100,55029,1:1426
Keyvan,92,8,54645,1:1436
Negar,0,100,54592,1:1438
Houshang,100,0,54553,1:1439
Asma,0,100,54262,1:1447
Rezvan,28,72,53999,1:1454
Shiva,53,47,53818,1:1459
Salman,100,0,53572,1:1465
Abbas Ali,100,0,53350,1:1471
Rana,0,100,53280,1:1473
Edris,0,100,53214,1:1475
Sohrab,100,0,52954,1:1482
Vajieh,0,100,52802,1:1487
Nafisa,0,100,52520,1:1495
Nayere,0,100,52250,1:1502
Heshmat,23,77,52098,1:1507
Foroogh,0,100,52088,1:1507
Ghorban,100,0,51561,1:1522
Ziba,100,0,51541,1:1523
Khosrow,100,0,51369,1:1528
Yahya,100,0,51210,1:1533
Jameel,100,0,51104,1:1536
Zeinat,0,100,50998,1:1539
Zahela Jila,0,100,50867,1:1543
Sirus,100,0,49620,1:1582
Nasim,100,0,49092,1:1599
Siamak,100,0,48437,1:1621
Vahideh,0,100,48355,1:1623
Saleh,100,0,48302,1:1625
Solayman,100,0,47675,1:1646
Ahad,93,7,47546,1:1651
Abolghasem,100,0,47353,1:1658
Ghorbanali,100,0,47188,1:1663
Shamsi,0,100,46689,1:1681
Ghader,88,12,46681,1:1682
Navid,100,0,46386,1:1692
Fardin,62,38,45820,1:1713
Tohid,67,33,45736,1:1716
Morad,100,0,45660,1:1719
