Name,Male,Female,Incidence,Frequency
Rama,78,22,770946,1:37
Krsna,70,30,331352,1:86
Laksmi,14,86,303065,1:94
Mana,52,48,282686,1:101
Sita,6,94,280253,1:102
Dhana,50,50,257134,1:111
Kamal,27,73,245962,1:116
Candr,51,49,241184,1:118
Mina,17,83,213564,1:133
Visnu,40,60,207601,1:137
Hari,78,22,188387,1:151
Dila,44,56,179000,1:159
Prema,77,23,178747,1:159
Bhima,68,32,162353,1:175
Gita,1,99,160519,1:177
Ganga,31,69,159433,1:179
Raja,76,24,155540,1:183
Durga,37,63,151935,1:187
Lala,77,23,140037,1:203
Indra,52,48,134274,1:212
Sunit,0,100,134046,1:213
Santi,2,98,132398,1:215
Padam,65,35,131499,1:217
Siva,78,22,130731,1:218
Parvati,0,100,127879,1:223
Nirmal,10,90,126721,1:225
Tara,23,77,119881,1:238
Purna,67,33,118677,1:240
Lila,27,73,117258,1:243
Syama,82,18,112784,1:253
Sarasvati,0,100,112192,1:254
Ganes,95,5,111235,1:256
Santa,37,63,110929,1:257
Susil,20,80,106861,1:267
Anita,1,99,104345,1:273
Rita,2,98,100269,1:284
Bala,72,28,100029,1:285
Hira,33,67,98290,1:290
Tika,40,60,98088,1:290
Nara,75,25,97871,1:291
Phula,7,93,97818,1:291
Sarit,0,100,96737,1:294
Rames,100,0,95042,1:300
Devi,28,72,90849,1:314
Nanda,44,56,88547,1:322
Vimal,13,87,88320,1:323
Kalpan,0,100,85484,1:333
Jaya,83,17,85296,1:334
Deva,66,34,84473,1:337
Teka,93,7,83802,1:340
Dipak,100,0,83557,1:341
Maya,3,97,83474,1:341
Manju,1,99,82593,1:345
Lalit,24,76,80987,1:352
Narayan,96,4,80347,1:355
Santos,99,1,77320,1:368
Rajendr,100,0,77041,1:370
Mohan,90,10,75072,1:379
Urmil,0,100,74431,1:383
Asa,22,78,74015,1:385
Amrta,35,65,73699,1:387
Radha,7,93,73420,1:388
Vira,95,5,72918,1:391
Sangit,1,99,72123,1:395
Ratna,44,56,72008,1:396
Sumitr,0,100,70902,1:402
Sobha,5,95,70704,1:403
Sarad,8,92,70562,1:404
Pavitr,1,99,69190,1:412
Prakas,100,0,68340,1:417
Surya,82,18,68165,1:418
Yama,63,37,66441,1:429
Jita,88,12,66271,1:430
Dines,100,0,65730,1:433
Kumari,0,100,64925,1:439
Gopal,100,0,64371,1:443
Savitri,0,100,64179,1:444
Raju,87,13,63372,1:450
Sures,100,0,63008,1:452
Manoj,100,0,62595,1:455
Goma,1,99,62185,1:458
Vijay,89,11,61310,1:465
Kali,23,77,60919,1:468
Janaki,2,98,60777,1:469
Teja,80,20,60223,1:473
Vinod,100,0,59360,1:480
Rupa,21,79,59201,1:481
Arjun,99,1,58420,1:488
Dala,90,10,58313,1:489
Radhik,0,100,58145,1:490
Sera,98,2,56337,1:506
Surendr,100,0,55749,1:511
Kanchi,0,100,55479,1:513
Tulasi,32,68,54796,1:520
Dipa,29,71,54637,1:521
Uma,12,88,54425,1:523
Sanu,30,70,54420,1:523
Harka,80,20,54361,1:524
Govind,99,1,53905,1:528
Tila,32,68,53760,1:530
Loka,85,15,53748,1:530
Rajes,100,0,53736,1:530
Sri,72,28,52935,1:538
Laksman,100,0,52898,1:539
Karna,91,9,52786,1:540
Pramil,0,100,52784,1:540
Oma,80,20,52420,1:543
Jamun,7,93,52146,1:546
Puspa,27,73,51684,1:551
Soma,65,35,49824,1:572
Sarmil,0,100,49787,1:572
Bhakt,84,16,49762,1:572
Jnana,73,27,49755,1:573
Srimati,0,100,49103,1:580
Hema,59,41,48737,1:585
Bhagavati,3,97,48463,1:588
