Name,Male,Female,Incidence,Frequency
Maria,0,0,565457,1:11
Jose,0,0,545311,1:12
Ana,0,0,224666,1:28
Juan,0,0,140959,1:45
Rosa,0,0,134638,1:47
Carlos,0,0,122815,1:52
Luis,0,0,76471,1:83
Santos,0,0,75920,1:84
Blanca,0,0,72675,1:87
Oscar,0,0,70311,1:90
Manuel,0,0,63314,1:100
Marta,0,0,63228,1:100
Jorge,0,0,59526,1:107
Miguel,0,0,58880,1:108
Francisco,0,0,56667,1:112
Sandra,0,0,48888,1:130
Julio,0,0,45985,1:138
Juana,0,0,42820,1:148
Mario,0,0,42782,1:148
Pedro,0,0,38979,1:163
Sonia,0,0,38364,1:165
Claudia,0,0,36977,1:172
Victor,0,0,36641,1:173
Reina,0,0,35898,1:177
Roberto,0,0,34901,1:182
Gloria,0,0,34293,1:185
Silvia,0,0,32120,1:197
Rafael,0,0,31457,1:202
Edwin,0,0,29464,1:215
Teresa,0,0,29368,1:216
Ricardo,0,0,28078,1:226
Jesus,0,0,27867,1:228
Dora,0,0,27819,1:228
Nelson,0,0,27078,1:234
Carmen,0,0,26438,1:240
David,0,0,26384,1:240
Hector,0,0,26192,1:242
Salvador,0,0,26192,1:242
Vilma,0,0,25920,1:245
Mirna,0,0,24957,1:254
Rene,0,0,24598,1:258
Mauricio,0,0,22699,1:279
Norma,0,0,22258,1:285
Jaime,0,0,22211,1:286
Francisca,0,0,21728,1:292
Roxana,0,0,21620,1:293
Walter,0,0,21542,1:294
Mercedes,0,0,20290,1:313
Raul,0,0,20208,1:314
Karla,0,0,20192,1:314
Marina,0,0,19619,1:323
Irma,0,0,19142,1:331
Daniel,0,0,19049,1:333
Flor,0,0,18118,1:350
Cesar,0,0,17848,1:355
Angela,0,0,17428,1:364
Marvin,0,0,17066,1:372
Veronica,0,0,16588,1:382
Julia,0,0,16170,1:392
Patricia,0,0,16153,1:393
Angel,0,0,16103,1:394
Margarita,0,0,15662,1:405
Elmer,0,0,15600,1:407
Sara,0,0,15352,1:413
William,0,0,14883,1:426
Berta,0,0,14771,1:429
Alba,0,0,14369,1:441
Pablo,0,0,14306,1:443
Guadalupe,0,0,14178,1:447
Cecilia,0,0,14165,1:448
Concepcion,0,0,14117,1:449
Lucia,0,0,14024,1:452
Zoila,0,0,13692,1:463
Eduardo,0,0,13577,1:467
Saul,0,0,13437,1:472
Lorena,0,0,13282,1:477
Isabel,0,0,13200,1:480
Delmy,0,0,13195,1:481
Yesenia,0,0,12949,1:490
Elsa,0,0,12944,1:490
Hugo,0,0,12791,1:496
Martha,0,0,12762,1:497
Reyna,0,0,12751,1:497
Guillermo,0,0,12634,1:502
Ruth,0,0,12587,1:504
Antonio,0,0,12583,1:504
Marcos,0,0,12522,1:506
Samuel,0,0,12387,1:512
