Name,Male,Female,Incidence,Frequency
Jean,100,0,48588,1:39
Marie,0,100,17359,1:108
Guy,100,0,14673,1:128
Alain,100,0,11987,1:157
Patrick,100,0,11746,1:160
Eric,100,0,11225,1:168
Ulrich,100,0,11185,1:168
Claude,100,0,10664,1:177
Christian,100,0,10624,1:177
Pierre,100,0,10624,1:177
Vanessa,0,100,10143,1:186
Franck,100,0,9782,1:193
Arnaud,100,0,9180,1:205
Michel,100,0,9180,1:205
Serge,100,0,9020,1:209
Yannick,100,0,8739,1:216
Paul,100,0,8699,1:217
Grace,0,0,8258,1:228
Emmanuel,100,0,8098,1:233
Brice,100,0,7898,1:238
Davy,100,0,7737,1:243
Rodrigue,100,0,7617,1:247
Audrey,0,100,7296,1:258
Joseph,100,0,7296,1:258
Junior,100,0,7296,1:258
Wilfried,100,0,7176,1:262
Thierry,100,0,7136,1:264
Yves,100,0,6575,1:286
Lionel,100,0,6294,1:299
Prisca,0,100,6254,1:301
Landry,100,0,6214,1:303
David,100,0,6134,1:307
Georges,100,0,6013,1:313
Yann,100,0,5893,1:320
Ada,0,100,5853,1:322
Fabrice,0,0,5813,1:324
Diane,0,100,5733,1:329
Christelle,0,100,5653,1:333
Steeve,100,0,5653,1:333
Ghislain,100,0,5372,1:351
Hans,0,0,5372,1:351
Jessica,0,0,5172,1:364
Gildas,100,0,5091,1:370
Nancy,0,100,5011,1:376
Charles,100,0,4971,1:379
