Name,Male,Female,Incidence,Frequency
Mary,0,0,2702,1:39
John,0,0,2543,1:42
Linda,0,0,2381,1:45
Maria,0,0,2229,1:48
Elizabeth,0,0,2075,1:51
Susan,0,0,1743,1:61
Moria,0,0,1713,1:62
Grace,0,0,1651,1:65
David,0,0,1561,1:68
James,0,0,1536,1:69
Yvonne,0,0,1474,1:72
Dolores,0,0,1464,1:73
Robert,0,0,1438,1:74
Oya,0,0,1398,1:76
Joe,0,0,1220,1:87
Peter,0,0,1198,1:89
Teresa,0,0,1132,1:94
Johnny,0,0,1129,1:94
Anthony,0,0,1052,1:101
Larry,0,0,1045,1:102
Mariana,0,0,1019,1:105
Steve,0,0,1009,1:106
Juliet,0,0,988,1:108
Connie,0,0,937,1:114
Kiomy,0,100,936,1:114
Elsa,0,0,933,1:114
Jonas,0,0,933,1:114
Eiken,0,100,932,1:114
Florine,0,0,932,1:114
Ivy,0,0,932,1:114
Misiem,0,100,932,1:114
Termilia,0,100,932,1:114
Henry,0,0,831,1:128
Hermes,0,0,778,1:137
Nelson,0,0,755,1:141
Mike,0,0,741,1:144
Jason,0,0,727,1:146
Jimmy,0,0,701,1:152
Mark,0,0,697,1:153
Alex,0,0,694,1:153
Richard,0,0,689,1:155
Francis,0,0,675,1:158
George,0,0,663,1:161
Joseph,0,0,657,1:162
Chang,0,0,622,1:171
Jagdish,0,0,621,1:171
Nena,0,0,606,1:176
Jack,0,0,584,1:182
Edward,0,0,567,1:188
Randy,0,0,567,1:188
Bruce,0,0,525,1:203
Willy,0,0,509,1:209
Romeo,0,0,474,1:225
Marlon,0,0,467,1:228
Rieko,100,0,467,1:228
Cho,0,0,466,1:229
Manny,0,0,466,1:229
Open,67,33,466,1:229
Teremy,100,0,466,1:229
Shrue,0,100,426,1:250
Rose,0,0,417,1:255
Kenye,25,75,387,1:275
Anna,0,0,353,1:302
William,0,0,351,1:303
Kun,0,0,337,1:316
Paul,0,0,332,1:321
Josephine,0,0,329,1:324
Michael,0,0,329,1:324
Margaret,0,0,322,1:331
Carmen,0,0,310,1:344
Sepe,17,83,292,1:365
Helen,0,0,289,1:369
Jesse,0,0,275,1:387
Lucy,0,0,266,1:400
Tony,0,0,265,1:402
Cynthia,0,0,258,1:413
Jennifer,0,0,257,1:414
Julie,0,0,254,1:419
Cecilia,0,0,243,1:438
Shra,0,100,238,1:447
Ruth,0,0,234,1:455
Antonia,0,0,230,1:463
Moses,0,0,226,1:471
Martha,0,0,225,1:473
Thomas,0,0,225,1:473
Clara,0,0,224,1:475
Tulpe,0,100,219,1:486
Ricky,0,0,209,1:510
Emily,0,0,208,1:512
Sylvia,0,0,207,1:514
Patrick,0,0,201,1:530
Joyce,0,0,200,1:532
Meriam,0,0,199,1:535
Jessica,0,0,197,1:541
Patricia,0,0,191,1:558
Rosa,0,0,189,1:563
Virginia,0,0,188,1:566
Daniel,0,0,181,1:588
Albert,0,0,179,1:595
Charles,0,0,177,1:602
Michelle,0,0,176,1:605
Alexander,0,0,175,1:609
Eugene,0,0,175,1:609
Benjamin,0,0,172,1:619
Evelyn,0,0,172,1:619
Juliana,0,0,170,1:626
Gloria,0,0,169,1:630
Martin,0,0,169,1:630
Christina,0,0,166,1:642
Esther,0,0,165,1:645
Paula,0,0,165,1:645
Veronica,0,0,165,1:645
Jayleen,0,100,153,1:696
Kevin,0,0,153,1:696
Lisa,0,0,153,1:696
Steven,0,0,150,1:710
Monica,0,0,144,1:740
Agnes,0,0,143,1:745
Bernie,0,0,143,1:745
Samuel,0,0,142,1:750
Joan,0,0,141,1:755
Magdalena,0,0,141,1:755
Merlynn,0,0,141,1:755
Dominic,0,0,137,1:777
Francisco,0,0,135,1:789
Gabriel,0,0,135,1:789
Deborah,0,0,134,1:795
Brian,0,0,133,1:801
Christopher,0,0,132,1:807
Nancy,0,0,132,1:807
Valerio,0,0,131,1:813
Ioanis,100,0,130,1:819
Alice,0,0,126,1:845
Jeffrey,0,0,125,1:852
Stanley,0,0,124,1:859
Vincent,0,0,123,1:866
Aileen,0,0,122,1:873
Andrew,0,0,121,1:880
Catherine,0,0,121,1:880
Diana,0,0,121,1:880
Elmina,0,0,121,1:880
Tim,0,0,121,1:880
Augustine,0,0,120,1:888
Belinda,0,0,120,1:888
Rihna,0,100,120,1:888
Fred,0,0,115,1:926
Ann,0,0,113,1:942
Julia,0,0,113,1:942
Timothy,0,0,113,1:942
Francisca,0,0,111,1:959
Lourdes,0,0,111,1:959
Mercy,0,0,111,1:959
Philip,0,0,111,1:959
Caroline,0,0,110,1:968
Pius,0,0,110,1:968
Wayne,0,0,110,1:968
Alik,0,0,109,1:977
Ioana,0,0,109,1:977
Mayleen,0,0,109,1:977
Amy,0,0,104,1:1024
Arthur,0,0,102,1:1044
Juanita,0,0,102,1:1044
Melinda,0,0,102,1:1044
Wilson,0,0,101,1:1054
Angelina,0,0,100,1:1065
Frank,0,0,100,1:1065
Hiroshi,100,0,99,1:1076
Vanessa,0,0,99,1:1076
Paulino,0,0,98,1:1087
Dorothy,0,0,95,1:1121
Leo,0,0,94,1:1133
Cathrine,0,0,93,1:1145
Janet,0,0,91,1:1170
Shirley,0,0,91,1:1170
Petra,0,0,90,1:1183
Cindy,0,0,89,1:1197
Edwin,0,0,89,1:1197
Francesca,0,0,89,1:1197
Jackson,0,0,89,1:1197
Lena,0,0,89,1:1197
Ruthann,0,0,89,1:1197
Amanda,0,0,88,1:1210
Kathy,0,0,88,1:1210
Loretta,0,0,88,1:1210
Lorna,0,0,88,1:1210
Lynn,0,0,88,1:1210
Merleen,0,0,88,1:1210
Norma,0,0,88,1:1210
Paulina,0,0,88,1:1210
Victor,0,0,88,1:1210
Alberta,0,0,87,1:1224
Bermin,88,12,87,1:1224
Jean,0,0,87,1:1224
Joshua,0,0,87,1:1224
Maryann,0,0,87,1:1224
Mihna,0,100,87,1:1224
Quleen,0,100,87,1:1224
Ray,0,0,87,1:1224
Rickson,0,0,87,1:1224
Irene,0,0,85,1:1253
Alfred,0,0,84,1:1268
Judy,0,0,84,1:1268
Eric,0,0,83,1:1283
Aaron,0,0,82,1:1299
Anastasia,0,0,82,1:1299
Bernard,0,0,82,1:1299
Debra,0,0,82,1:1299
Dennis,0,0,82,1:1299
Andrea,0,0,81,1:1315
Carmina,0,0,81,1:1315
Darlene,0,0,81,1:1315
Angie,0,0,80,1:1331
Maureen,0,0,80,1:1331
Phillip,0,0,80,1:1331
Concepcion,0,0,79,1:1348
Martina,0,0,79,1:1348
Mercedes,0,0,79,1:1348
Stan,0,0,79,1:1348
Aloysius,0,0,78,1:1365
Anita,0,0,78,1:1365
Antonio,0,0,78,1:1365
Cyril,0,0,78,1:1365
Fernando,0,0,78,1:1365
Noel,0,0,78,1:1365
Walter,0,0,78,1:1365
Berney,0,0,77,1:1383
Justina,0,0,77,1:1383
Karen,0,0,77,1:1383
Marcia,0,0,77,1:1383
Wanida,0,0,77,1:1383
Charley,0,0,76,1:1401
Elnora,0,0,76,1:1401
Gregorio,0,0,76,1:1401
Jackleen,0,100,76,1:1401
Kenneth,0,0,76,1:1401
Lilly,0,0,76,1:1401
Marleen,0,0,76,1:1401
Nixon,0,0,76,1:1401
Rosaly,0,100,76,1:1401
Roseleen,0,0,76,1:1401
Scott,0,0,76,1:1401
Sei,0,0,76,1:1401
Yolanda,0,0,76,1:1401
Isaac,0,0,73,1:1459
Justin,0,0,73,1:1459
Cecelia,0,0,70,1:1521
Athena,0,0,69,1:1543
Jacob,0,0,69,1:1543
Fredrick,0,0,68,1:1566
Sophia,0,0,68,1:1566
Agatha,0,0,67,1:1590
Beatrice,0,0,67,1:1590
Don,0,0,67,1:1590
Eddie,0,0,67,1:1590
Gregory,0,0,67,1:1590
Katherine,0,0,67,1:1590
Colleen,0,0,66,1:1614
Douglas,0,0,66,1:1614
Franklin,0,0,66,1:1614
Merlina,0,0,66,1:1614
Mo,0,0,66,1:1614
Raphael,0,0,66,1:1614
Ana,0,0,65,1:1638
Bastora,0,100,65,1:1638
Bob,0,0,65,1:1638
Glenn,0,0,65,1:1638
Herman,0,0,65,1:1638
Lois,0,0,65,1:1638
Marcy,0,0,65,1:1638
Masao,100,0,65,1:1638
Pedro,0,0,65,1:1638
Sweeter,25,75,65,1:1638
Welson,100,0,65,1:1638
Rodney,0,0,62,1:1718
Edgar,0,0,60,1:1775
Carlos,0,0,59,1:1805
Rosalinda,0,0,59,1:1805
Salome,0,0,59,1:1805
Bernadette,0,0,58,1:1836
Ellen,0,0,58,1:1836
Florina,0,0,58,1:1836
Margarita,0,0,58,1:1836
Daisy,0,0,56,1:1902
Jose,0,0,56,1:1902
Marcelino,0,0,56,1:1902
Mathias,0,0,56,1:1902
Matthew,0,0,56,1:1902
Roberto,0,0,56,1:1902
Brandon,0,0,55,1:1936
Elihter,0,100,55,1:1936
Ester,0,0,55,1:1936
Ignatius,0,0,55,1:1936
Kelly,0,0,55,1:1936
Masako,0,0,55,1:1936
Nora,0,0,55,1:1936
Patterson,100,0,55,1:1936
Paulus,0,0,55,1:1936
Rita,0,0,55,1:1936
Susana,0,0,55,1:1936
Clayton,0,0,54,1:1972
Elerihse,0,100,54,1:1972
Flora,0,0,54,1:1972
Hermina,0,0,54,1:1972
Ignasio,100,0,54,1:1972
Ihda,0,100,54,1:1972
Luciano,0,0,54,1:1972
Manuelita,0,100,54,1:1972
Maylani,0,100,54,1:1972
Maylinda,0,100,54,1:1972
McKenzie,0,0,54,1:1972
Melina,0,0,54,1:1972
Mihpel,0,100,54,1:1972
Mikaila,0,0,54,1:1972
Mioko,0,100,54,1:1972
Misko,0,0,54,1:1972
Namiko,0,100,54,1:1972
Pedra,0,100,54,1:1972
Seledonia,0,100,54,1:1972
Senry,0,0,54,1:1972
Sihna,0,100,54,1:1972
Soster,0,100,54,1:1972
Yumi,0,0,54,1:1972
Sam,0,0,52,1:2048
Alokoa,100,0,51,1:2088
Simon,0,0,49,1:2173
Tommy,0,0,49,1:2173
Donna,0,0,48,1:2219
Jefferson,0,0,48,1:2219
Mario,0,0,48,1:2219
Anderson,0,0,47,1:2266
Marcus,0,0,47,1:2266
Jerry,0,0,45,1:2367
Nicholas,0,0,45,1:2367
Raymond,0,0,45,1:2367
Al,0,0,44,1:2420
Berlinda,0,0,44,1:2420
Cooper,0,0,44,1:2420
Eiko,0,0,44,1:2420
Fredy,0,0,44,1:2420
Hellen,0,0,44,1:2420
Ignathio,0,0,44,1:2420
Johnson,0,0,44,1:2420
Laurence,0,0,44,1:2420
Lester,0,0,44,1:2420
Lorenzo,0,0,44,1:2420
Mariano,0,0,44,1:2420
Ramon,0,0,44,1:2420
Simeon,0,0,44,1:2420
Taylor,0,0,44,1:2420
Alain,0,0,43,1:2477
Alwis,100,0,43,1:2477
Andreas,0,0,43,1:2477
Benito,0,0,43,1:2477
Benster,100,0,43,1:2477
Dasko,75,25,43,1:2477
Hosan,0,0,43,1:2477
Howard,0,0,43,1:2477
Isao,0,0,43,1:2477
Jackie,0,0,43,1:2477
Joab,0,0,43,1:2477
Justino,0,0,43,1:2477
Loren,0,0,43,1:2477
Merlihna,0,0,43,1:2477
Nick,0,0,43,1:2477
Ryan,0,0,43,1:2477
Serleen,0,100,43,1:2477
Wilmar,0,0,43,1:2477
Yuzo,100,0,43,1:2477
Jocelyn,0,0,41,1:2598
Sandra,0,0,41,1:2598
Harry,0,0,40,1:2662
Mathew,0,0,39,1:2731
Ruben,0,0,39,1:2731
Aliksa,100,0,38,1:2803
Danny,0,0,38,1:2803
Donald,0,0,38,1:2803
Gary,0,0,38,1:2803
Likiak,100,0,38,1:2803
Milson,0,0,38,1:2803
Roger,0,0,38,1:2803
Sterling,0,0,38,1:2803
Terry,0,0,38,1:2803
Tulensa,83,17,38,1:2803
Jim,0,0,37,1:2878
Joel,0,0,37,1:2878
Laura,0,0,37,1:2878
Lee,0,0,37,1:2878
Lucas,0,0,37,1:2878
Raynold,0,0,37,1:2878
Sebastian,0,0,37,1:2878
Stephanie,0,0,37,1:2878
Sylvester,0,0,37,1:2878
Jane,0,0,36,1:2958
Alan,0,0,35,1:3043
Benson,0,0,35,1:3043
Eduardo,0,0,35,1:3043
Julian,0,0,35,1:3043
Louis,0,0,35,1:3043
Melvin,0,0,35,1:3043
Annie,0,0,34,1:3132
Arnold,0,0,34,1:3132
Beauty,0,0,34,1:3132
Boyd,0,0,34,1:3132
Dickson,0,0,34,1:3132
Eneriko,100,0,34,1:3132
Erickson,0,0,34,1:3132
Inos,25,75,34,1:3132
Jon,0,0,34,1:3132
Jun,0,0,34,1:3132
Ken,0,0,34,1:3132
Kimberly,0,0,34,1:3132
Marie,0,0,34,1:3132
Max,0,0,34,1:3132
Morris,0,0,34,1:3132
Pedrus,100,0,34,1:3132
Suda,0,0,34,1:3132
Truman,0,0,34,1:3132
Abel,0,0,33,1:3227
Adelino,0,0,33,1:3227
Adrian,0,0,33,1:3227
Alejandro,0,0,33,1:3227
Alpino,100,0,33,1:3227
Alter,0,0,33,1:3227
Ansein,67,33,33,1:3227
Arlynn,100,0,33,1:3227
Artemio,100,0,33,1:3227
Arwelson,0,0,33,1:3227
Asterio,100,0,33,1:3227
Beauter,67,33,33,1:3227
Bermance,100,0,33,1:3227
Bernardo,0,0,33,1:3227
Bryan,0,0,33,1:3227
Callistus,0,0,33,1:3227
Carter,0,0,33,1:3227
Cassandra,0,0,33,1:3227
Catalino,100,0,33,1:3227
Cyprian,0,0,33,1:3227
Delson,0,0,33,1:3227
Derrick,0,0,33,1:3227
Elina,0,0,33,1:3227
Elsihter,0,0,33,1:3227
Elter,33,67,33,1:3227
Elwet,100,0,33,1:3227
Erine,0,0,33,1:3227
Fritz,0,0,33,1:3227
Gaiyos,0,0,33,1:3227
Garry,0,0,33,1:3227
Genevieve,0,0,33,1:3227
Gorman,0,0,33,1:3227
Haser,100,0,33,1:3227
Henster,33,67,33,1:3227
Herbert,0,0,33,1:3227
Hermis,100,0,33,1:3227
Hilario,0,0,33,1:3227
Iakop,100,0,33,1:3227
Iolani,100,0,33,1:3227
Jayson,0,0,33,1:3227
Jermina,0,100,33,1:3227
Jolden,100,0,33,1:3227
Juanito,0,0,33,1:3227
Juleen,0,0,33,1:3227
Julyn,0,0,33,1:3227
June,0,0,33,1:3227
Kadalino,0,0,33,1:3227
Kalio,67,33,33,1:3227
Karleen,0,0,33,1:3227
Kathleen,0,0,33,1:3227
Kerpet,0,0,33,1:3227
Kikulynn,0,0,33,1:3227
Kohler,100,0,33,1:3227
Kohne,67,33,33,1:3227
Kulian,50,50,33,1:3227
Kumar,0,0,33,1:3227
Leilani,0,0,33,1:3227
Leon,0,0,33,1:3227
Lilia,0,0,33,1:3227
