Name,Male,Female,Incidence,Frequency
John,100,0,277,1:43
Mary,0,100,164,1:73
David,100,0,157,1:76
Paul,100,0,149,1:80
Michael,96,4,116,1:103
Christopher,95,5,111,1:107
Maria,0,100,96,1:124
James,100,0,93,1:128
Joseph,100,0,91,1:131
Peter,100,0,91,1:131
Christina,0,100,83,1:144
Joshua,100,0,70,1:170
Robert,100,0,69,1:173
Elizabeth,0,100,68,1:175
Jason,100,0,64,1:186
Mark,100,0,63,1:189
Jesse,100,0,60,1:199
Daniel,100,0,59,1:202
Anthony,100,0,56,1:213
Bernadette,0,100,53,1:225
Francis,100,0,50,1:239
Andrew,100,0,49,1:243
Richard,100,0,49,1:243
Timothy,100,0,47,1:254
Bill,100,0,46,1:259
Nei,0,100,45,1:265
Samuel,100,0,45,1:265
Alice,0,100,44,1:271
Jamieson,100,0,43,1:277
Agnes,0,100,42,1:284
Tautino,0,100,42,1:284
Tyron,100,0,42,1:284
Bernard,100,0,41,1:291
Justin,89,11,37,1:322
Alfred,100,0,36,1:331
Lisa,0,100,36,1:331
Rex,100,0,36,1:331
Mathew,100,0,34,1:351
Aaron,100,0,33,1:361
Isaac,100,0,33,1:361
Juliana,0,100,33,1:361
Margo,0,100,33,1:361
Patricia,0,100,29,1:411
Philomena,0,100,29,1:411
Grace,0,100,28,1:426
Jacob,100,0,28,1:426
Francine,0,100,27,1:442
Jim,100,0,27,1:442
Rose,0,100,27,1:442
Lynette,0,100,26,1:459
Nancy,0,100,26,1:459
Rachael,0,100,26,1:459
Ruby,0,100,26,1:459
Janice,0,100,25,1:477
Louisa,0,100,25,1:477
Myson,100,0,25,1:477
Ruth,0,100,25,1:477
Esther,0,100,24,1:497
Sarah,0,100,24,1:497
Veronica,0,100,24,1:497
Bruno,100,0,23,1:519
Jane,0,100,23,1:519
Maxine,0,100,23,1:519
Cordell,100,0,22,1:542
Johnson,100,0,22,1:542
Junior,100,0,22,1:542
Thrixeena,0,100,22,1:542
Anna,0,100,21,1:568
Anne,0,100,21,1:568
Christian,100,0,21,1:568
Gabriel,100,0,21,1:568
Yvette,0,100,21,1:568
Amanda,0,100,20,1:596
Brian,100,0,20,1:596
Jefferson,100,0,20,1:596
Chris,100,0,19,1:628
Of,0,0,19,1:628
Frederick,100,0,18,1:663
Marjorie,0,100,18,1:663
Pauline,0,100,18,1:663
Raymond,100,0,18,1:663
Sean,100,0,18,1:663
Teresa,0,100,18,1:663
Timson,100,0,18,1:663
Clifford,100,0,17,1:702
Dominic,100,0,17,1:702
Hartson,100,0,17,1:702
Iturinmar,100,0,17,1:702
Jeremy,100,0,17,1:702
Josephine,0,100,17,1:702
Lise,0,100,17,1:702
Lucina,0,100,17,1:702
Marlene,0,100,17,1:702
Michelle,0,100,17,1:702
Nathan,100,0,17,1:702
Norman,100,0,17,1:702
Phillip,100,0,17,1:702
Annette,0,100,16,1:745
Barry,100,0,16,1:745
Bob,100,0,16,1:745
Dane,100,0,16,1:745
Farrah,0,100,16,1:745
George,100,0,16,1:745
Marissa,0,100,16,1:745
Myron,100,0,16,1:745
Nadia,0,100,16,1:745
Penina,0,100,16,1:745
Rina,0,100,16,1:745
Shane,100,0,16,1:745
Sheba,0,100,16,1:745
Valda,0,100,16,1:745
Victor,100,0,16,1:745
Andrea,0,100,15,1:795
Audrey,0,100,15,1:795
Bronson,100,0,15,1:795
Charlene,0,100,15,1:795
Colin,100,0,15,1:795
Davidson,100,0,15,1:795
Gretna,0,100,15,1:795
Hudson,100,0,15,1:795
Joanne,0,100,15,1:795
Jocelyn,0,100,15,1:795
Joy,0,100,15,1:795
Loni,0,100,15,1:795
Luke,100,0,15,1:795
Newson,100,0,15,1:795
Reagen,100,0,15,1:795
Ricco,100,0,15,1:795
Scott,100,0,15,1:795
Simpson,100,0,15,1:795
Tulas,100,0,15,1:795
Vania,0,100,15,1:795
Vera,0,100,15,1:795
Vinson,100,0,15,1:795
Anastasia,0,100,14,1:852
Cecilia,0,100,14,1:852
Laura,0,100,14,1:852
Mizra,100,0,14,1:852
Priscilla,0,100,14,1:852
Rufus,100,0,14,1:852
Steve,100,0,14,1:852
Brenda,0,100,13,1:917
Ezra,100,0,13,1:917
Helen,0,100,13,1:917
Johannes,100,0,13,1:917
Jude,100,0,13,1:917
Katherine,0,100,13,1:917
Lydia,0,100,13,1:917
Martin,100,0,13,1:917
Odette,0,100,13,1:917
Abraham,100,0,12,1:994
Ann,0,100,12,1:994
Annie,0,100,12,1:994
Bruce,100,0,12,1:994
Charisma,0,100,12,1:994
Eric,100,0,12,1:994
Fiona,0,100,12,1:994
Frank,100,0,12,1:994
Gillian,0,100,12,1:994
Henry,100,0,12,1:994
Jana,0,100,12,1:994
Jeffrey,100,0,12,1:994
Lina,0,100,12,1:994
Lois,0,100,12,1:994
Mareta,0,100,12,1:994
Moses,100,0,12,1:994
Sharon,0,100,12,1:994
Susan,0,100,12,1:994
Victoria,0,100,12,1:994
Virginia,0,100,12,1:994
Albert,100,0,11,1:1084
Anita,0,100,11,1:1084
Chelsea,0,100,11,1:1084
Clint,100,0,11,1:1084
Cordelia,0,100,11,1:1084
Dennis,100,0,11,1:1084
Eva,0,100,11,1:1084
Gary,100,0,11,1:1084
Ian,100,0,11,1:1084
Jacqueline,0,100,11,1:1084
Jemima,0,100,11,1:1084
