Name,Male,Female,Incidence,Frequency
Alexandru,100,0,432708,1:46
Andreea,0,100,353070,1:57
Andrei,100,0,324436,1:62
Elena,0,100,315064,1:64
Maria,0,100,271596,1:74
Alexandra,0,100,268009,1:75
Mihai,100,0,262550,1:76
Marius,100,0,262012,1:77
Adrian,100,0,257643,1:78
Ionut,100,0,252883,1:79
Florin,100,0,245785,1:82
Mihaela,0,100,240303,1:83
Cristina,0,100,217488,1:92
Daniel,100,0,209432,1:96
Cristian,100,0,208569,1:96
Ioana,0,100,204982,1:98
Marian,0,100,193041,1:104
Ana,0,100,188791,1:106
Bogdan,100,0,185232,1:108
George,100,0,179591,1:112
Constantin,100,0,177239,1:113
Alina,0,100,169520,1:118
Ioan,0,100,155957,1:129
Vasile,100,0,150633,1:133
Georgiana,0,100,147793,1:136
Daniela,0,100,140302,1:143
Gabriel,100,0,139620,1:144
Nicoleta,0,100,135299,1:148
Diana,0,100,133360,1:150
Ionela,0,100,131397,1:153
Nicolae,100,0,128733,1:156
Roxana,0,100,128586,1:156
Mariana,0,100,120323,1:167
Gheorghe,100,0,120125,1:167
Ana-Maria,0,100,112647,1:178
Cosmin,95,5,108567,1:185
Gabriela,0,100,107869,1:186
Oana,0,100,107684,1:186
Catalin,0,100,106374,1:189
Robert,100,0,103436,1:194
Stefan,100,0,101856,1:197
Ion,100,0,100676,1:199
Alin,61,39,96829,1:207
Valentin,100,0,95586,1:210
Iulian,100,0,95530,1:210
Adriana,0,100,94372,1:212
Madalina,0,100,89271,1:225
Radu,100,0,87680,1:229
Florentina,0,100,87300,1:230
Bianca,0,100,86951,1:231
Raluca,0,100,84424,1:238
Claudiu,100,0,84267,1:238
Vlad,100,0,81701,1:245
Anca,0,100,81534,1:246
Dan,100,0,81175,1:247
Simona,0,100,78785,1:255
Razvan,95,5,76825,1:261
Paul,100,0,75804,1:265
Dumitru,100,0,75007,1:267
Sorin,100,0,74045,1:271
Laura,0,100,73150,1:274
Lucian,100,0,70986,1:282
Iuliana,0,100,69438,1:289
Ovidiu,100,0,67056,1:299
Anamaria,0,100,64753,1:310
Claudia,0,100,64009,1:313
Ionel,100,0,63204,1:317
Mirela,0,100,62365,1:322
Florina,0,100,60720,1:330
Carmen,0,100,60510,1:331
Ciprian,100,0,60186,1:333
Irina,0,100,59753,1:336
Ramona,0,100,59474,1:337
Iulia,0,100,57200,1:351
Silviu,100,0,56183,1:357
Loredana,0,100,56052,1:358
Sergiu,100,0,54602,1:367
Denisa,0,100,53828,1:373
Viorel,100,0,53024,1:378
Liviu,100,0,52983,1:378
Mircea,100,0,50597,1:396
Monica,0,100,50443,1:398
Dragos,100,0,49274,1:407
Laurentiu,100,0,48931,1:410
Corina,0,100,47180,1:425
Petru,100,0,46479,1:431
Adina,0,100,44183,1:454
Mădălina,0,100,44158,1:454
Camelia,0,100,44090,1:455
Valentina,0,100,43606,1:460
Lavinia,0,100,43383,1:462
Ionuţ,100,0,43237,1:464
Liliana,0,100,41898,1:479
Sebastian,100,0,40361,1:497
Larisa,0,100,40015,1:501
Paula,0,100,38035,1:527
Ionuț,100,0,37975,1:528
Eduard,100,0,37100,1:540
Costel,100,0,37059,1:541
Teodora,0,100,35947,1:558
Catalina,0,100,34485,1:581
Georgeta,0,100,34426,1:582
Ilie,100,0,34100,1:588
Andra,0,100,33403,1:600
Rodica,0,100,33137,1:605
Emanuel,100,0,33015,1:607
Cătălin,0,100,32876,1:610
Vasilica,0,100,32351,1:620
Ileana,0,100,32226,1:622
Victor,100,0,32068,1:625
Raul,100,0,31875,1:629
Eugen,100,0,31509,1:636
Adelina,0,100,29941,1:670
Dana,0,100,29904,1:671
Marinela,0,100,29255,1:685
Răzvan,95,5,28805,1:696
Attila,100,0,28412,1:706
Cornel,100,0,27541,1:728
Tudor,100,0,27509,1:729
Dorin,85,15,27351,1:733
Octavian,100,0,27248,1:736
Emil,100,0,27167,1:738
Violeta,0,100,27086,1:740
Georgian,0,100,26902,1:745
Andrea,0,100,26320,1:762
Stefania,0,100,26296,1:763
Mária,0,100,26199,1:765
Viorica,0,100,25881,1:775
Teodor,100,0,25469,1:787
Emilia,0,100,25438,1:788
Silvia,0,100,24632,1:814
Alex,100,0,24403,1:822
Danut,91,9,24391,1:822
David,100,0,24257,1:827
Aurel,100,0,24067,1:833
Mihail,100,0,23906,1:839
Veronica,0,100,23346,1:859
Timea,5,95,23182,1:865
Zsolt,100,0,22705,1:883
Norbert,100,0,22704,1:883
Ancuta,0,100,22647,1:885
Madalin,0,100,22631,1:886
Dorina,0,100,22456,1:893
Sorina,0,100,22451,1:893
Florian,100,0,22410,1:895
Cornelia,0,100,22343,1:897
Luminita,0,100,22302,1:899
Istvan,100,0,22225,1:902
Andrada,50,50,21676,1:925
Marina,0,100,21449,1:935
Marcel,100,0,21378,1:938
Tiberiu,100,0,21205,1:946
Cosmina,0,100,20475,1:979
Nicusor,100,0,20467,1:980
Zoltan,100,0,20231,1:991
Petronela,0,100,20176,1:994
Csaba,100,0,19961,1:1005
Aurelia,0,100,19924,1:1006
Petre,100,0,19824,1:1012
Petrica,86,14,19723,1:1017
Delia,0,100,19704,1:1018
Geanina,0,100,19533,1:1027
Calin,91,9,19290,1:1040
Angela,0,100,18986,1:1056
Adela,0,100,18949,1:1058
Mihaita,78,22,18732,1:1070
Denis,100,0,18381,1:1091
Szabolcs,100,0,18291,1:1096
Ştefan,100,0,18087,1:1109
Darius,100,0,18000,1:1114
Iosif,100,0,17831,1:1125
Cristi,0,100,17673,1:1135
Levente,100,0,17426,1:1151
Lenuta,0,100,17279,1:1160
Remus,100,0,17228,1:1164
Doru,100,0,17207,1:1165
Marin,100,0,16656,1:1204
Nicu,100,0,16654,1:1204
Costin,100,0,16562,1:1211
Flavius,100,0,16552,1:1211
Emanuela,0,100,16418,1:1221
