Name,Male,Female,Incidence,Frequency
Sergey,100,0,4942669,1:29
Aleksandr,100,0,4529709,1:32
Elena,0,100,4311620,1:33
Tatyana,0,100,3743788,1:39
Olga,0,100,3609220,1:40
Natalya,0,100,3605057,1:40
Andrey,100,0,3486808,1:41
Ekaterina,0,100,3284813,1:44
Dmitriy,100,0,3196179,1:45
Irina,0,100,3029550,1:48
Vladimir,100,0,2936962,1:49
Aleksey,100,0,2850445,1:51
Svetlana,0,100,2767842,1:52
Anastasiya,0,100,2765376,1:52
Anna,0,100,2277880,1:63
Maksim,100,0,1909907,1:76
Marina,0,100,1882214,1:77
Ivan,100,0,1833513,1:79
Evgeniy,100,0,1798785,1:80
Alexander,99,1,1748146,1:83
Nikolay,99,1,1735560,1:83
Mariya,0,100,1708205,1:84
Mikhail,100,0,1691605,1:85
Yuliya,0,100,1634628,1:88
Denis,100,0,1572168,1:92
Roman,100,0,1415737,1:102
Darya,0,100,1412516,1:102
Pavel,100,0,1388572,1:104
Nadezhda,0,100,1309509,1:110
Igor,100,0,1290706,1:112
Viktoriya,0,100,1185530,1:122
Anton,100,0,1178948,1:122
Nikita,100,0,1158855,1:124
Lyudmila,0,100,1139692,1:127
Oleg,100,0,1088707,1:132
Ilya,100,0,1087788,1:133
Galina,0,100,1085200,1:133
Viktor,100,0,1054107,1:137
Alexey,100,0,1035717,1:139
Kristina,0,100,1025451,1:141
Alina,0,100,993728,1:145
Kseniya,0,100,915307,1:158
Konstantin,100,0,878780,1:164
Valentina,1,99,871267,1:166
Artyom,100,0,847087,1:170
Kirill,100,0,831696,1:173
Yuriy,100,0,810099,1:178
Lyubov,0,100,793892,1:182
Alyona,0,100,760617,1:190
Dmitry,100,0,759893,1:190
Aleksandra,0,100,750009,1:192
Ruslan,100,0,737944,1:195
Oksana,0,100,681511,1:212
Evgeniya,0,100,680344,1:212
Anastasia,0,100,657217,1:219
Vadim,100,0,648371,1:222
Vitaliy,100,0,620334,1:233
Artem,100,0,603296,1:239
Yulia,0,100,597705,1:241
Elizaveta,0,100,596193,1:242
Evgeny,100,0,586123,1:246
Danil,100,0,570120,1:253
Anya,0,100,556860,1:259
Valeriya,0,100,551654,1:261
Yana,0,100,546468,1:264
Olesya,0,100,539973,1:267
Yulya,0,100,514714,1:280
Larisa,0,100,504008,1:286
Vasiliy,99,1,500493,1:288
Stanislav,100,0,492447,1:293
Egor,100,0,488479,1:295
Diana,0,100,488043,1:296
Polina,0,100,486026,1:297
Vera,0,100,464214,1:311
Vyacheslav,100,0,461296,1:313
Nina,0,100,458287,1:315
Alena,0,100,457865,1:315
Vladislav,100,0,455193,1:317
Maria,0,100,451969,1:319
Valeriy,99,1,436978,1:330
Anatoliy,100,0,394855,1:365
Margarita,0,100,392469,1:368
Maxim,100,0,389770,1:370
Artur,100,0,372359,1:387
Oxana,0,100,326317,1:442
Viktoria,0,100,323872,1:445
Veronika,0,100,317821,1:454
Inna,0,100,315534,1:457
Daniil,100,0,312795,1:461
Karina,0,100,310247,1:465
Nataliya,0,100,289165,1:499
Yury,100,0,285239,1:506
Eduard,100,0,261354,1:552
Tamara,0,100,254487,1:567
Alla,0,100,246344,1:585
Angelina,0,100,239722,1:602
Timur,100,0,238095,1:606
Petr,100,0,237443,1:607
Albina,0,100,234911,1:614
Gennadiy,100,0,232707,1:620
Elvira,0,100,225655,1:639
Evgenia,0,100,215803,1:668
Alexandra,0,100,208425,1:692
Leonid,100,0,205055,1:703
Ksenia,0,100,201805,1:715
Arina,0,100,201709,1:715
Sasha,0,0,193370,1:746
Vitaly,100,0,191683,1:752
Liliya,0,100,190802,1:756
Magomed,100,0,184408,1:782
Zhanna,0,100,182993,1:788
Sofiya,0,100,182763,1:789
Rustam,100,0,180579,1:799
Boris,100,0,178397,1:808
Natalia,0,100,171603,1:841
Marat,100,0,166198,1:868
Georgiy,100,0,166149,1:868
Lidiya,0,100,163814,1:880
Grigoriy,100,0,160411,1:899
Anatoly,100,0,155186,1:929
Yaroslav,100,0,154940,1:931
Anzhelika,0,100,154574,1:933
Alisa,0,100,151811,1:950
Sofya,0,100,147329,1:979
Gulnara,0,100,143081,1:1008
Vasily,100,0,142147,1:1015
Stepan,100,0,141419,1:1020
Antonina,0,100,131400,1:1098
Valery,99,1,129554,1:1113
Valentin,100,0,127055,1:1135
Raisa,10,90,126180,1:1143
Albert,100,0,125354,1:1151
Ulyana,0,100,120342,1:1199
Milana,0,100,117180,1:1231
Regina,0,100,116699,1:1236
Shamil,100,0,116549,1:1238
Madina,0,100,114844,1:1256
Danila,100,0,114476,1:1260
Anzhela,0,100,107471,1:1342
Valeria,0,100,107156,1:1346
Timofey,99,1,106694,1:1352
Rinat,100,0,105859,1:1363
Zhenya,0,0,104972,1:1374
Ildar,100,0,103778,1:1390
Semyon,100,0,103046,1:1400
Amina,0,100,97424,1:1480
Lilia,0,100,93674,1:1540
Gleb,100,0,92540,1:1559
Islam,100,0,91090,1:1583
Ramil,100,0,89487,1:1612
Svyatoslav,100,0,86863,1:1660
Asya,0,100,86319,1:1671
Zoya,0,100,83855,1:1720
Dina,0,100,83381,1:1730
Aygul,0,100,81476,1:1770
Sanya,0,0,81379,1:1772
Fyodor,100,0,81085,1:1779
Matvey,100,0,80951,1:1782
Elmira,0,100,80260,1:1797
Guzel,0,100,76821,1:1878
Varvara,0,100,76149,1:1894
Rimma,0,100,76014,1:1897
